contest,pref_voter_id,serial_number,tally,precinct,vote_rank,candidate,over_vote,under_vote
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004784,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004784,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004784,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004785,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004785,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004785,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004786,0000001,Vote by Mail - 400C,200200,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004786,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004786,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004787,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004787,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004787,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004788,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004788,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004788,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004789,0000001,Vote by Mail - 400C,200200,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004789,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004789,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004790,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004790,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004790,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004791,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004791,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004791,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004792,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004792,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004792,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004793,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004793,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004793,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004794,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004794,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004794,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004795,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004795,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004795,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004796,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004796,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004796,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004797,0000001,Vote by Mail - 400C,200200,1,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004797,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004797,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004798,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004798,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004798,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004799,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004799,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004799,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004800,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004800,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004800,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004801,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004801,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004801,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004802,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004802,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004802,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004803,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004803,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004803,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004804,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004804,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004804,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004805,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004805,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004805,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004806,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004806,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004806,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004807,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004807,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004807,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004808,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004808,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004808,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004809,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004809,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004809,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004810,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004810,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004810,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004811,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004811,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004811,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004812,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004812,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004812,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004813,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004813,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004813,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004814,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004814,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004814,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004815,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004815,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004815,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004816,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004816,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004816,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004817,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004817,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004817,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004818,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004818,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004818,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004819,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004819,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004819,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004820,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004820,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004820,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004821,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004821,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004821,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004822,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004822,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004822,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004823,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004823,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004823,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004824,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004824,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004824,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004825,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004825,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004825,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004826,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004826,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004826,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004827,0000001,Vote by Mail - 400C,200200,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004827,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004827,0000001,Vote by Mail - 400C,200200,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004828,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004828,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004828,0000001,Vote by Mail - 400C,200200,3,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004829,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004829,0000001,Vote by Mail - 400C,200200,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004829,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004830,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004830,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004830,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004831,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004831,0000001,Vote by Mail - 400C,200200,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004831,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004832,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004832,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004832,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004833,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004833,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004833,0000001,Vote by Mail - 400C,200200,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004834,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004834,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004834,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004835,0000001,Vote by Mail - 400C,200200,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004835,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004835,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004836,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004836,0000001,Vote by Mail - 400C,200200,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004836,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004837,0000001,Vote by Mail - 400C,200200,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004837,0000001,Vote by Mail - 400C,200200,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004837,0000001,Vote by Mail - 400C,200200,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004838,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004838,0000001,Vote by Mail - 400C,200300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004838,0000001,Vote by Mail - 400C,200300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004839,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004839,0000001,Vote by Mail - 400C,200300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004839,0000001,Vote by Mail - 400C,200300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004840,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004840,0000001,Vote by Mail - 400C,200300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004840,0000001,Vote by Mail - 400C,200300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004841,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004841,0000001,Vote by Mail - 400C,200300,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004841,0000001,Vote by Mail - 400C,200300,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004842,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004842,0000001,Vote by Mail - 400C,200300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004842,0000001,Vote by Mail - 400C,200300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004843,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004843,0000001,Vote by Mail - 400C,200300,2,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004843,0000001,Vote by Mail - 400C,200300,3,NA,0,1
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004844,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004844,0000001,Vote by Mail - 400C,200300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004844,0000001,Vote by Mail - 400C,200300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004845,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004845,0000001,Vote by Mail - 400C,200300,2,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004845,0000001,Vote by Mail - 400C,200300,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004846,0000001,Vote by Mail - 400C,200300,1,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004846,0000001,Vote by Mail - 400C,200300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004846,0000001,Vote by Mail - 400C,200300,3,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004847,0000001,Vote by Mail - 400C,200300,1,ISABELLE GASTON,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004847,0000001,Vote by Mail - 400C,200300,2,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004847,0000001,Vote by Mail - 400C,200300,3,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004848,0000001,Vote by Mail - 400C,200300,1,SUSAN WENGRAF,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004848,0000001,Vote by Mail - 400C,200300,2,FRED DODSWORTH,0,0
"Member, City Council, Dist. 6 - Berkeley (RCV)",000004848,0000001,Vote by Mail - 400C,200300,3,NA,0,1
